,summary,Winter,Herbst,Frühling,Sommer,word
schweiz genügend,2.0085809135093418,0.04455790096316563,-0.11351330120821455,0.12178203679235369,-0.08001395415264799,schweiz genügend
genügend strom,1.9701733636589949,0.034985459573787056,-0.09420638239665274,0.14108895560391524,-0.060707035341086284,genügend strom
importieren,1.9494613915606025,0.029626930196942007,-0.08363796662803091,0.1516573713725372,-0.05013861957246435,importieren
strom importier,1.9494613915606025,0.029626930196942007,-0.08363796662803091,0.1516573713725372,-0.05013861957246435,strom importier
Szena…,1.882424502824012,0.011258521118368538,-0.04864541680746849,0.18664992119309964,-0.015146069751901905,Szena…
+5149,1.8688439568101836,0.0073333070413573705,-0.04140487644603984,0.1938904615545283,-0.007905529390473282,+5149
szena… +5149,1.8688439568101836,0.0073333070413573705,-0.04140487644603984,0.1938904615545283,-0.007905529390473282,szena… +5149
+5149 chars,1.8597136831650887,0.004653300553370183,-0.036507383755212924,0.198787954245355,-0.003008036699646508,+5149 chars
E-Control,2.14110131191306,0.07435626355403362,-0.17740517005267292,0.05789016794789512,-0.14390582299710633,E-Control
e-control seh,2.053719540066673,0.055241530114169594,-0.13573740054718825,0.09955793745337989,-0.10223805349162178,e-control seh
seh energieversorgung,2.0983084922650885,0.0652398482784277,-0.15721638194372747,0.07807895605684079,-0.12371703488816083,seh energieversorgung
winter sicher,6.786831731177433,0.3402535283138628,-1.3310690662625002,-1.0957737282619318,-1.2975697192069335,winter sicher
müsse,2.3587597842327956,0.11459726422938787,-0.27422080741177285,-0.03892546941120468,-0.24072146035620626,müsse
sicher müss,2.169820303193104,0.0802286422287443,-0.19072919619636777,0.0445661418042004,-0.15722984914080118,sicher müss
Füllmenge,2.1553230180389984,0.07728814875558498,-0.18402544634579193,0.05126989165477617,-0.1505260992902253,Füllmenge
müss füllmenge,2.1553230180389984,0.07728814875558498,-0.18402544634579193,0.05126989165477617,-0.1505260992902253,müss füllmenge
Gasspeichern,2.5166962067446916,0.13865410785229035,-0.3390318539646183,-0.1037365159640501,-0.30553250690905176,Gasspeichern
füllmenge gasspeicher,2.0976822582042396,0.06510304446327105,-0.15691789031076642,0.07837744768980165,-0.1234185432551998,füllmenge gasspeicher
geschaut,2.0651317519923773,0.05785126975874542,-0.14127886845665874,0.09401646954390942,-0.1077795214010921,geschaut
gasspeicher schau,2.0651317519923773,0.05785126975874542,-0.14127886845665874,0.09401646954390942,-0.1077795214010921,gasspeicher schau
Entwicklung,1.99938631057374,0.042308026364554684,-0.10892513042167805,0.12637020757889006,-0.07542578336611146,Entwicklung
schau entwicklung,1.99938631057374,0.042308026364554684,-0.10892513042167805,0.12637020757889006,-0.07542578336611146,schau entwicklung
beim,8.322104833541552,0.11791020938786918,-1.5350000492998601,-1.2997047112992919,0.4337202007059997,beim
entwicklung beim,1.9840946739627254,0.0385085857143466,-0.10124756811672521,0.13404776988384295,-0.0677482210611586,entwicklung beim
beim strom,1.978245725612482,0.037035917183875,-0.09829529647488888,0.13700004152567918,-0.06479594941932218,beim strom
strom europa,1.9683829095785175,0.034527814590486434,-0.09329718924078462,0.14199814875978345,-0.05979784218521794,strom europa
rechtzeitig,2.3275807737436485,0.10938639596176213,-0.2609142753071504,-0.0256189373065823,-0.2274149282515838,rechtzeitig
europa rechtzeitig,1.9573436416450902,0.031682959542931634,-0.0876731107996211,0.14762222720094706,-0.05417376374405444,europa rechtzeitig
Maßnahmen,2.8595088753442535,-0.01608369488568051,0.3038132343805619,-0.23143939183902865,-0.4332353827840302,Maßnahmen
rechtzeitig maßnahme,1.9463837607729468,0.028818474354746482,-0.08205801090210788,0.15323732709846033,-0.04855866384654115,rechtzeitig maßnahme
treffen,2.4674427607962017,0.13154263569618602,-0.31926713647205984,-0.08397179847149179,-0.28576778941649333,treffen
maßnahme treff,1.9355867492993517,0.02595665510419547,-0.07649535179034024,0.1587999862102279,-0.04299600473477378,maßnahme treff
Stromangellage,1.922875353425932,0.022535494282932302,-0.06990648735587919,0.1653888506446891,-0.03640714030031245,Stromangellage
treff stromangellag,1.922875353425932,0.022535494282932302,-0.06990648735587919,0.1653888506446891,-0.03640714030031245,treff stromangellag
verhindern,4.983326824801043,-0.14706853844331225,0.7035656770268582,-0.7868872087685076,-0.9886831997135093,verhindern
stromangellag verhinder,1.7654260348576245,-0.02512240936296665,0.015523117558022345,0.2508184555585902,0.04902246461358871,stromangellag verhinder
ve…,1.8804404752984314,0.010689565054835974,-0.047590886431823895,0.18770445156874416,-0.014091539376257432,ve…
stromangellag ve…,1.7066264810009173,-0.04587485370154519,0.04939655452110218,0.28469189252167054,0.08289590157666897,stromangellag ve…
+1402,1.7057691952979122,-0.04619132397004998,0.04989900839947005,0.2851943464000383,0.08339835545503682,+1402
ve… +1402,1.7057691952979122,-0.04619132397004998,0.04989900839947005,0.2851943464000383,0.08339835545503682,ve… +1402
+1402 chars,1.70475977479503,-0.046564492059756095,0.050490952078124436,0.2857862900786927,0.08399029913369115,+1402 chars
Offene,2.0900283916952134,0.06342287123404088,-0.15326249208894896,0.0820328459116192,-0.11976314503338252,Offene
